name,type,latitude,longitude
Valea Ilvei,LOG,47.36417,24.871776
Vasiflorilia,LOG,47.438402,24.765794
Zadorsim,LOG,47.212261,24.751595
I.F. Zaharie Maria,LOG,47.212261,24.751595
"Austro Somes Trading D. Maieru, Anies",LOG,47.415866,24.774082
Austro Somes Trading D. Nasaud,LOG,47.293165,24.382603
Austroforest VL Stanii,LOG,47.551332,25.160043
Bib Explo Tur SRL,LOG,47.494458,24.235523
Lucasion SRL,LOG,47.39187,24.364403
Cvasciuc SRL,LOG,47.52387,24.022787
Karlsberg Prod SRL,LOG,47.911905,25.538675
00 LOGYARD lipsa,LOG,,
PDL Susenii Bargaului,LOG,47.218454,24.713292
PDL Vatra Dornei,LOG,47.380317,25.323786
Gerex Pietroasa,LOG,47.227191,25.747853
Austroforest Vatra Dornei,LOG,47.346588,25.365822
Cumar Com,LOG,47.813516,25.823961
Denidari Trans dep Argestru,LOG,47.367453,25.344839
Eli Construct Vilsan,LOG,45.165298,24.795455
Grup Diana Forest,LOG,45.265973,25.197916
Bilan Paul II,LOG,47.827819,24.410189
Bib Explo Tur,LOG,47.82946,24.39961
Forest Pop Ivan,LOG,47.849442,24.407253
Concret Montain,LOG,47.683243,24.715833
Danidum SRL,LOG,47.683123,24.715815
Dencova,LOG,47.863962,24.186605
Lucasion,LOG,47.655639,24.611522
Marduvep,LOG,47.721168,24.46893
Nova Artis Fabrica,LOG,47.713132,24.417727
Nova Artis Vaser ,LOG,47.715362,24.441613
Rocosma SRL,LOG,47.82235,23.929468
Ro Tudic SRL,LOG,47.781017,24.272982
Cvasciuc SRL,LOG,47.52387,24.022787
Martriplex SRL,LOG,47.750735,23.825247
Trecicapevas SRL,LOG,47.84128,24.491428
Bautim SRL,LOG,47.776493,24.284373
Poienaru Vim,LOG,47.842015,24.491523
Remundiakrem SRLD,LOG,47.832792,24.474648
Polianske Derevo,LOG,47.82933,24.400745
Team Wood Construct,LOG,47.783222,24.262762
Horber Borsa,LOG,47.655906,24.617286
Timlem,LOG,47.756157,24.174372
Timlem,LOG,47.636509,24.736067
Atlantis,LOG,47.655132,24.525802
Birsan Lemn,LOG,47.813001,24.067631
Brandfor Man,LOG,47.656111,24.611977
Catarama SRL,LOG,47.661924,24.671806
Dudman Serv,LOG,47.653824,24.565194
Fintina Stanchii SRL,LOG,47.656165,24.65212
Ivnist Com Prod,LOG,47.579162,24.42141
Lucfor Com,LOG,47.655299,24.610979
Marsilforest SRL,LOG,47.543396,24.442928
Natsis Co,LOG,47.6419,24.522715
Petcris Lemn,LOG,47.684148,24.79578
Tulean Forest ,LOG,47.631194,24.443953
Valcanescu,LOG,47.656129,24.611102
Vlad Stejerelul,LOG,47.656412,24.365011
SUSPENDAT  Ema Silva dep. Obarsia Lotrului,LOG,45.43544,23.628452
INCDS Baza experimentala,LOG,45.411964,22.240398
Susenii Bargaului HSR,LOG,47.218648,24.713015
ESR Total,LOG,44.977656,24.943317
OS Cugir depozit,LOG,45.844019,23.368414
Euseb SRL,LOG,47.209167,26.405613
Ynacor Dam,LOG,47.187185,25.534807
Telci Molid I,LOG,47.530845,24.407146
Telci Molid II,LOG,47.533351,24.417264
Davidim Trans Dep Argestru,LOG,47.368031,25.344884
Salem Boldis,LOG,47.425625,24.812571
NORIDOR,LOG,47.313635,25.213709
DECOR CASA PROD COM,LOG,47.24931,25.33979
Chirica Com,LOG,47.147614,25.485385
Bicajel,LOG,46.823625,25.853403
Betti Com,LOG,46.805998,25.503851
Bilprod Wood,LOG,47.045447,25.490254
Costica  Company,LOG,47.06739332,25.48372058
Luca Elvirig,LOG,47.161569,25.818446
Malinic,LOG,45.680907,26.04325
Modern Barokk,LOG,46.193519,25.916557
Voicilas,LOG,45.190774,26.040739
Monteclas,LOG,45.85629,26.147981
